,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46468782936924935,0.47589100029007336,0.30787222375563394
57,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9764585358538084,0.8899371453858641,0.6945844187717578
58,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6069600636020485,0.8658281299526666,0.2919454572935942
59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42886388800130787,0.9507337615534727,0.6053429686043397
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620266072062765,0.2809224511820477,0.49504317736672365
61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8812691889717337,0.8773585076737477,0.4359709060502307
62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3091095150278304,0.2557652072043566,0.3949727900162099
63,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8567042038219899,0.32914046108408157,0.537641711417304
64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9160696400423672,0.5241090101921073,0.48510396587142157
65,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6069600636020485,0.7924528760729416,0.564855985311382
66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7379733927937235,0.0607966455177142,0.09031371454301085
67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6069600636020485,0.32914046108408157,0.42652810840304234
